Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,James Willcox,Second,Paul Upfold,2,23,WON,82,96,100,59,60,26,39,39,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,Paul Upfold,Second,James Willcox,3,19,WON,100,55,100,140,27,59,20,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,James Willcox,First,Paul Upfold,3,21,LOST,140,41,78,42,95,5,82,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,Paul Upfold,First,James Willcox,4,21,LOST,68,44,55,56,100,54,56,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,James Willcox,Second,Paul Upfold,4,21,WON,55,59,83,58,58,100,88,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,Paul Upfold,Second,James Willcox,5,22,WON,24,85,47,140,13,100,56,36,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,James Willcox,First,Paul Upfold,5,24,LOST,100,57,59,38,41,100,24,57,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,Paul Upfold,First,James Willcox,6,24,WON,82,94,59,60,85,96,13,12,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,James Willcox,Second,Paul Upfold,6,21,LOST,43,100,46,83,82,63,59,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,Paul Upfold,Second,James Willcox,7,18,LOST,83,40,44,41,27,21,,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,James Willcox,First,Paul Upfold,7,19,WON,100,140,81,100,48,16,16,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,Paul Upfold,First,James Willcox,8,21,LOST,66,45,44,133,83,58,56,,,
