Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21,Throw_22,Throw_23
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/nQuVppuEGZSK,Teddie Stanford,Second,Troy Power,1,27,LOST,54,45,41,81,83,27,11,8,21,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/nQuVppuEGZSK,Troy Power,Second,Teddie Stanford,2,28,WON,45,137,60,114,40,49,36,0,0,20,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/nQuVppuEGZSK,Teddie Stanford,First,Troy Power,2,30,LOST,45,19,31,117,34,93,36,114,0,0,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/CntIcFUcjtNl,Harry Sheridan,First,Paul Upfold,1,27,LOST,31,28,13,11,85,42,65,92,6,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/CntIcFUcjtNl,Paul Upfold,Second,Harry Sheridan,1,25,WON,84,37,48,85,137,30,40,20,20,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/CntIcFUcjtNl,Harry Sheridan,Second,Paul Upfold,2,30,LOST,39,65,26,70,34,57,30,63,43,48,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/CntIcFUcjtNl,Paul Upfold,First,Harry Sheridan,2,31,WON,60,36,29,44,30,44,61,87,46,32,32,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/cYRn5sCrtskO,Alan Greene,Second,Ross Lee,1,24,LOST,45,41,60,21,7,42,100,41,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/cYRn5sCrtskO,Ross Lee,First,Alan Greene,1,25,WON,42,30,65,84,60,58,60,70,32,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/cYRn5sCrtskO,Alan Greene,First,Ross Lee,2,24,LOST,83,26,26,40,41,30,50,45,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/cYRn5sCrtskO,Ross Lee,Second,Alan Greene,2,22,WON,125,140,100,96,24,8,4,4,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/xW9bTlHXtrvi,Harry Sheridan,Second,Troy Power,1,18,LOST,88,30,26,12,85,45,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/xW9bTlHXtrvi,Troy Power,First,Harry Sheridan,1,21,WON,27,100,100,99,85,50,40,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/xW9bTlHXtrvi,Harry Sheridan,First,Troy Power,2,30,LOST,30,7,44,17,40,26,10,42,22,22,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/xW9bTlHXtrvi,Troy Power,Second,Harry Sheridan,2,28,WON,100,140,55,125,63,0,14,0,2,2,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jXjZ1u06etPf,Teddie Stanford,Second,Alan Greene,1,37,WON,45,41,29,29,20,29,52,87,45,76,42,0,6,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jXjZ1u06etPf,Alan Greene,First,Teddie Stanford,1,39,LOST,65,26,41,60,100,59,53,42,45,0,0,7,0,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jXjZ1u06etPf,Teddie Stanford,First,Alan Greene,2,39,LOST,54,41,25,57,69,104,51,50,22,14,10,0,0,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jXjZ1u06etPf,Alan Greene,Second,Teddie Stanford,2,37,WON,60,45,26,45,100,41,9,43,42,27,0,23,40,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jXjZ1u06etPf,Teddie Stanford,Second,Alan Greene,3,33,LOST,81,35,25,29,74,45,57,19,42,39,35,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jXjZ1u06etPf,Alan Greene,First,Teddie Stanford,3,36,WON,26,33,43,63,140,82,58,17,14,9,0,16,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/SnkxI1JChwCV,Paul Upfold,Second,Ross Lee,1,18,WON,60,100,80,81,82,98,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/SnkxI1JChwCV,Ross Lee,First,Paul Upfold,1,18,LOST,140,41,45,21,41,40,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/SnkxI1JChwCV,Paul Upfold,First,Ross Lee,2,24,LOST,41,93,27,60,140,40,40,20,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/SnkxI1JChwCV,Ross Lee,Second,Paul Upfold,2,23,WON,30,60,26,97,134,54,40,60,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/SnkxI1JChwCV,Paul Upfold,Second,Ross Lee,3,27,LOST,85,85,42,95,24,60,45,45,10,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/SnkxI1JChwCV,Ross Lee,First,Paul Upfold,3,29,WON,60,21,60,100,28,60,60,42,38,32,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/goTsQh9CWOo5,Charlie Hardie,Second,Theodore Rowan,1,30,LOST,45,26,62,20,20,60,65,85,53,25,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/goTsQh9CWOo5,Theodore Rowan,First,Charlie Hardie,1,32,WON,66,95,30,60,59,43,37,57,34,10,10,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/goTsQh9CWOo5,Charlie Hardie,First,Theodore Rowan,2,36,WON,24,29,40,80,81,41,23,45,60,58,10,10,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/goTsQh9CWOo5,Theodore Rowan,Second,Charlie Hardie,2,33,LOST,60,60,30,50,30,41,20,26,60,58,10,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/goTsQh9CWOo5,Charlie Hardie,Second,Theodore Rowan,3,45,WON,7,41,38,29,81,100,22,41,80,0,22,38,0,0,2,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/goTsQh9CWOo5,Theodore Rowan,First,Charlie Hardie,3,45,LOST,56,55,44,30,100,40,81,26,29,30,0,0,0,0,5,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/cfBZzg6BuJTa,Dylan Merrick,First,Robert Parry,1,41,WON,100,10,60,45,10,60,22,70,22,40,22,0,0,40,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/cfBZzg6BuJTa,Robert Parry,Second,Dylan Merrick,1,39,LOST,25,39,32,15,36,100,58,45,59,64,0,0,24,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/cfBZzg6BuJTa,Dylan Merrick,Second,Robert Parry,2,67,WON,100,60,45,121,30,20,60,25,20,0,0,10,0,0,5,3,0,0,0,0,0,0,2
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/cfBZzg6BuJTa,Robert Parry,First,Dylan Merrick,2,69,LOST,11,30,26,25,41,34,40,94,41,63,40,51,0,0,0,0,1,0,0,0,0,0,0
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/47qCDxScPjcs,Callum Spoor,Second,Michel Dominguez,1,60,WON,22,45,32,22,45,81,22,23,36,45,22,26,25,35,10,0,6,2,0,2,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/47qCDxScPjcs,Michel Dominguez,First,Callum Spoor,1,60,LOST,60,80,45,42,41,40,87,39,39,9,0,16,0,0,0,1,0,0,0,0,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/47qCDxScPjcs,Callum Spoor,First,Michel Dominguez,2,42,LOST,41,3,33,11,11,5,24,59,56,40,28,7,41,42,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/47qCDxScPjcs,Michel Dominguez,Second,Callum Spoor,2,40,WON,21,7,40,25,35,100,89,66,60,23,25,5,1,4,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/47qCDxScPjcs,Callum Spoor,Second,Michel Dominguez,3,51,LOST,60,20,26,21,41,15,25,41,57,30,39,39,19,28,0,0,30,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/47qCDxScPjcs,Michel Dominguez,First,Callum Spoor,3,52,WON,15,21,60,45,26,55,41,85,40,41,29,0,5,0,34,0,0,4,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/FFTXoOmFgHZ8,Charlie Hardie,First,Dylan Merrick,1,33,WON,24,38,13,22,27,85,60,60,70,54,48,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/FFTXoOmFgHZ8,Dylan Merrick,Second,Charlie Hardie,1,30,LOST,25,22,76,21,21,41,30,41,85,97,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/FFTXoOmFgHZ8,Charlie Hardie,Second,Dylan Merrick,2,33,LOST,40,65,45,45,45,60,40,60,5,40,16,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/FFTXoOmFgHZ8,Dylan Merrick,First,Charlie Hardie,2,34,WON,60,26,41,41,28,42,24,80,42,96,1,20,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/FFTXoOmFgHZ8,Charlie Hardie,First,Dylan Merrick,3,28,WON,45,45,100,45,85,9,60,55,47,10,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/FFTXoOmFgHZ8,Dylan Merrick,Second,Charlie Hardie,3,27,LOST,61,42,85,85,21,79,60,60,4,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/EzzTyHp37u81,Theodore Rowan,Second,Michel Dominguez,1,35,WON,15,80,66,140,22,55,57,25,33,4,0,4,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/EzzTyHp37u81,Michel Dominguez,First,Theodore Rowan,1,36,LOST,45,70,41,2,60,40,60,80,38,35,10,6,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/EzzTyHp37u81,Theodore Rowan,First,Michel Dominguez,2,39,LOST,80,31,43,30,44,26,28,10,43,58,40,28,0,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/EzzTyHp37u81,Michel Dominguez,Second,Theodore Rowan,2,38,WON,100,25,60,41,60,41,30,55,30,0,3,36,20,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/EzzTyHp37u81,Theodore Rowan,Second,Michel Dominguez,3,38,WON,35,41,23,20,40,100,60,13,54,53,16,26,20,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/EzzTyHp37u81,Michel Dominguez,First,Theodore Rowan,3,39,LOST,1,45,21,28,36,26,7,15,20,95,29,80,41,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/ZzXrjK23XRa1,Robert Parry,First,Callum Spoor,1,51,LOST,43,49,33,43,31,56,33,43,44,56,56,10,0,2,0,0,0,,,,,,
