Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21,Throw_22,Throw_23
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/mml8r8gQv8mY,Dylan Merrick,First,Michel Dominguez,1,37,WON,78,28,22,21,26,30,60,100,53,43,0,10,30,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/mml8r8gQv8mY,Michel Dominguez,First,Dylan Merrick,2,34,WON,60,26,40,70,60,60,43,40,41,41,0,20,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/mml8r8gQv8mY,Dylan Merrick,Second,Michel Dominguez,2,33,LOST,41,80,60,45,21,22,70,60,62,1,36,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/mml8r8gQv8mY,Michel Dominguez,Second,Dylan Merrick,3,27,LOST,100,60,35,85,55,22,61,80,0,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/mml8r8gQv8mY,Dylan Merrick,First,Michel Dominguez,3,29,WON,60,60,60,60,40,24,45,42,70,40,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/wwamtdO8Yaqa,Callum Spoor,Second,Charlie Hardie,1,27,LOST,40,61,26,41,21,35,57,20,44,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/wwamtdO8Yaqa,Charlie Hardie,First,Callum Spoor,1,29,WON,26,57,42,68,64,28,45,38,83,50,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/wwamtdO8Yaqa,Callum Spoor,First,Charlie Hardie,2,36,LOST,33,39,36,40,42,33,22,45,49,23,23,42,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/wwamtdO8Yaqa,Charlie Hardie,Second,Callum Spoor,2,35,WON,61,74,31,93,42,45,35,44,28,8,38,2,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sznWbCsOY476,Robert Parry,First,Michel Dominguez,1,39,LOST,14,45,61,30,95,36,80,13,38,32,0,19,0,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sznWbCsOY476,Michel Dominguez,Second,Robert Parry,1,37,WON,41,39,26,45,30,81,26,121,40,0,32,0,20,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sznWbCsOY476,Robert Parry,Second,Michel Dominguez,2,29,WON,52,43,21,50,81,33,85,49,38,49,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sznWbCsOY476,Michel Dominguez,First,Robert Parry,2,30,LOST,45,26,41,85,41,41,65,60,47,33,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sznWbCsOY476,Robert Parry,First,Michel Dominguez,3,42,WON,30,20,58,45,59,40,33,34,21,38,47,33,23,20,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sznWbCsOY476,Michel Dominguez,Second,Robert Parry,3,39,LOST,22,60,22,45,56,100,60,81,15,21,11,6,0,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/7aLvyq4Nulpk,Theodore Rowan,Second,Dylan Merrick,1,38,WON,42,66,44,45,62,45,95,56,30,11,1,0,4,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/7aLvyq4Nulpk,Dylan Merrick,First,Theodore Rowan,1,39,LOST,24,29,80,41,40,7,45,41,60,15,22,37,20,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/7aLvyq4Nulpk,Theodore Rowan,First,Dylan Merrick,2,39,LOST,26,39,30,28,45,60,26,60,59,58,29,32,0,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/7aLvyq4Nulpk,Dylan Merrick,Second,Theodore Rowan,2,37,WON,29,26,15,22,45,75,40,85,100,24,0,0,40,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/7aLvyq4Nulpk,Theodore Rowan,Second,Dylan Merrick,3,30,LOST,100,55,103,92,14,59,22,24,0,0,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/7aLvyq4Nulpk,Dylan Merrick,First,Theodore Rowan,3,32,WON,94,62,20,41,140,20,25,30,60,6,3,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/tds7WZO5CViR,Stephen Bardon,First,John Mcdermott,1,29,WON,46,57,81,100,26,57,52,46,20,16,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/tds7WZO5CViR,John Mcdermott,Second,Stephen Bardon,1,27,LOST,17,100,43,75,59,31,89,37,30,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/tds7WZO5CViR,Stephen Bardon,Second,John Mcdermott,2,18,LOST,22,59,60,43,26,32,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/tds7WZO5CViR,John Mcdermott,First,Stephen Bardon,2,21,WON,81,68,80,43,81,81,67,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/tds7WZO5CViR,Stephen Bardon,First,John Mcdermott,3,20,WON,40,60,90,54,180,37,40,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/tds7WZO5CViR,John Mcdermott,Second,Stephen Bardon,3,18,LOST,44,81,45,60,95,81,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/dCaLbIXMMv5k,Martin Saxon,Second,Malcolm Spoor,1,33,LOST,55,41,22,32,56,36,15,31,62,52,3,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/dCaLbIXMMv5k,Malcolm Spoor,First,Martin Saxon,1,34,WON,24,100,40,49,60,22,25,45,44,24,36,32,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/dCaLbIXMMv5k,Martin Saxon,First,Malcolm Spoor,2,36,LOST,41,37,52,15,42,23,52,7,22,27,70,15,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/dCaLbIXMMv5k,Malcolm Spoor,Second,Martin Saxon,2,34,WON,45,83,23,55,56,30,35,30,61,53,16,14,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/IwUmDTczOTO4,Steve Henry,First,Liam Saxon,1,21,LOST,64,59,40,45,30,79,41,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/IwUmDTczOTO4,Liam Saxon,Second,Steve Henry,1,20,WON,85,100,137,99,60,0,20,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/IwUmDTczOTO4,Steve Henry,Second,Liam Saxon,2,18,LOST,47,96,37,79,41,45,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/IwUmDTczOTO4,Liam Saxon,First,Steve Henry,2,20,WON,97,96,81,60,45,98,24,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/J7HabwgKb9rm,Stephen Bardon,First,Martin Saxon,1,21,WON,85,45,60,180,41,28,62,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/J7HabwgKb9rm,Martin Saxon,Second,Stephen Bardon,1,18,LOST,38,60,39,11,22,25,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/J7HabwgKb9rm,Stephen Bardon,Second,Martin Saxon,2,21,WON,96,24,85,60,41,140,55,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/J7HabwgKb9rm,Martin Saxon,First,Stephen Bardon,2,21,LOST,44,15,45,60,22,14,45,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/qFX9lMVMZpcj,John Mcdermott,First,Liam Saxon,1,21,LOST,28,49,60,60,54,33,83,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/qFX9lMVMZpcj,Liam Saxon,Second,John Mcdermott,1,20,WON,125,100,60,100,96,0,20,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/qFX9lMVMZpcj,John Mcdermott,Second,Liam Saxon,2,12,LOST,81,25,42,180,,,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/qFX9lMVMZpcj,Liam Saxon,First,John Mcdermott,2,15,WON,140,96,57,123,85,,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/iuwYC1wCB7A6,Malcolm Spoor,Second,Steve Henry,1,18,LOST,30,60,52,22,66,49,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/iuwYC1wCB7A6,Steve Henry,First,Malcolm Spoor,1,19,WON,60,82,180,99,0,76,4,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/iuwYC1wCB7A6,Malcolm Spoor,First,Steve Henry,2,39,LOST,41,60,25,62,22,17,18,26,40,47,47,21,25,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/iuwYC1wCB7A6,Steve Henry,Second,Malcolm Spoor,2,38,WON,44,40,55,23,31,33,57,40,85,53,30,0,10,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/Za5FwKGqMYnA,Liam Saxon,First,Stephen Bardon,1,24,WON,61,42,54,140,58,58,56,32,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/Za5FwKGqMYnA,Stephen Bardon,Second,Liam Saxon,1,21,LOST,45,60,41,68,45,60,81,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/Za5FwKGqMYnA,Liam Saxon,Second,Stephen Bardon,2,15,LOST,55,59,58,59,60,,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/Za5FwKGqMYnA,Stephen Bardon,First,Liam Saxon,2,16,WON,140,60,100,140,21,40,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/Za5FwKGqMYnA,Liam Saxon,First,Stephen Bardon,3,18,WON,100,30,100,45,99,127,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/Za5FwKGqMYnA,Stephen Bardon,Second,Liam Saxon,3,15,LOST,100,21,45,140,100,,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/2MxZmuHHJOOw,John Mcdermott,First,Malcolm Spoor,1,31,WON,28,100,41,31,100,81,45,27,32,0,16,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/2MxZmuHHJOOw,Malcolm Spoor,Second,John Mcdermott,1,30,LOST,12,44,45,22,41,22,41,28,37,42,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/2MxZmuHHJOOw,John Mcdermott,Second,Malcolm Spoor,2,28,WON,30,26,41,84,58,60,85,25,52,40,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/2MxZmuHHJOOw,Malcolm Spoor,First,John Mcdermott,2,30,LOST,26,6,21,45,30,84,25,46,85,43,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/nnqwq9FBNHN2,Martin Saxon,Second,Steve Henry,1,24,LOST,30,28,38,11,54,73,50,34,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/nnqwq9FBNHN2,Steve Henry,First,Martin Saxon,1,27,WON,45,85,30,58,96,43,26,44,74,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/nnqwq9FBNHN2,Martin Saxon,First,Steve Henry,2,18,LOST,31,73,61,41,26,42,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/nnqwq9FBNHN2,Steve Henry,Second,Martin Saxon,2,18,WON,38,57,100,140,85,81,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/8TCkjdpzW13C,Stephen Bardon,Second,Malcolm Spoor,1,27,WON,125,45,60,180,55,0,18,0,18,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/8TCkjdpzW13C,Malcolm Spoor,First,Stephen Bardon,1,27,LOST,9,45,54,100,45,45,40,44,43,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/8TCkjdpzW13C,Stephen Bardon,First,Malcolm Spoor,2,28,WON,46,58,30,95,85,21,85,41,20,20,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/8TCkjdpzW13C,Malcolm Spoor,Second,Stephen Bardon,2,27,LOST,35,7,50,43,60,41,61,9,81,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/muL6GOguGMj6,Steve Henry,First,John Mcdermott,1,23,WON,70,60,86,55,44,95,31,60,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/muL6GOguGMj6,John Mcdermott,Second,Steve Henry,1,21,LOST,43,63,96,30,41,65,15,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/muL6GOguGMj6,Steve Henry,Second,John Mcdermott,2,18,LOST,45,41,83,85,57,84,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/muL6GOguGMj6,John Mcdermott,First,Steve Henry,2,21,WON,50,81,45,95,66,84,80,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/muL6GOguGMj6,Steve Henry,First,John Mcdermott,3,25,WON,41,60,28,41,71,85,58,93,24,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/muL6GOguGMj6,John Mcdermott,Second,Steve Henry,3,24,LOST,22,43,84,51,83,42,66,25,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/boUtmMjGwc5W,Liam Saxon,First,Martin Saxon,1,17,WON,100,58,60,180,83,20,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/boUtmMjGwc5W,Martin Saxon,Second,Liam Saxon,1,15,LOST,37,48,75,26,59,,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/boUtmMjGwc5W,Liam Saxon,Second,Martin Saxon,2,18,WON,140,59,98,97,47,60,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/boUtmMjGwc5W,Martin Saxon,First,Liam Saxon,2,18,LOST,14,20,79,56,46,11,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/GHQbsfzIGixq,Steve Henry,First,Stephen Bardon,1,18,LOST,85,41,100,41,40,52,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/GHQbsfzIGixq,Stephen Bardon,Second,Steve Henry,1,18,WON,100,43,140,55,95,68,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/GHQbsfzIGixq,Steve Henry,Second,Stephen Bardon,2,23,WON,26,95,57,77,79,54,55,58,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/GHQbsfzIGixq,Stephen Bardon,First,Steve Henry,2,24,LOST,40,60,85,140,60,98,0,0,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/GHQbsfzIGixq,Steve Henry,First,Stephen Bardon,3,21,WON,29,83,98,44,133,74,40,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/GHQbsfzIGixq,Stephen Bardon,Second,Steve Henry,3,18,LOST,41,100,43,43,85,45,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/qAkkkiAl6I4Z,Malcolm Spoor,Second,Liam Saxon,1,12,LOST,11,7,60,81,,,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/qAkkkiAl6I4Z,Liam Saxon,First,Malcolm Spoor,1,15,WON,100,100,85,60,156,,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/qAkkkiAl6I4Z,Malcolm Spoor,First,Liam Saxon,2,27,LOST,45,25,55,4,45,45,29,11,26,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/qAkkkiAl6I4Z,Liam Saxon,Second,Malcolm Spoor,2,26,WON,45,59,58,134,60,65,41,23,16,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/35tsRANGmVYu,John Mcdermott,First,Martin Saxon,1,20,WON,27,60,123,100,92,77,22,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/35tsRANGmVYu,Martin Saxon,Second,John Mcdermott,1,18,LOST,127,36,90,38,37,41,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/35tsRANGmVYu,John Mcdermott,Second,Martin Saxon,2,28,WON,51,100,9,83,40,82,87,17,16,16,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 3,https://www.dartsatlas.com/matches/35tsRANGmVYu,Martin Saxon,First,John Mcdermott,2,30,LOST,30,30,26,56,34,30,24,70,34,18,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/8JcMjjjVA8H0,Jono Harding,First,Tom Riding,1,21,LOST,61,24,60,83,140,45,72,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/8JcMjjjVA8H0,Tom Riding,Second,Jono Harding,1,21,WON,125,27,45,60,44,140,60,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/8JcMjjjVA8H0,Jono Harding,Second,Tom Riding,2,24,LOST,30,50,45,57,100,43,60,30,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/8JcMjjjVA8H0,Tom Riding,First,Jono Harding,2,27,WON,34,41,100,96,60,60,92,9,9,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/NeDdJbS4LnDx,Tomasz Lach,Second,John Power,1,21,LOST,55,7,29,29,26,60,121,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/NeDdJbS4LnDx,John Power,First,Tomasz Lach,1,23,WON,55,140,123,59,40,52,16,16,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/NeDdJbS4LnDx,Tomasz Lach,First,John Power,2,21,LOST,85,41,9,45,55,45,58,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/NeDdJbS4LnDx,John Power,Second,Tomasz Lach,2,20,WON,100,140,41,100,100,0,20,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/4UeeALvgkk9W,Kian Dominguez,Second,Jono Harding,1,21,LOST,43,60,30,100,34,90,27,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/4UeeALvgkk9W,Jono Harding,First,Kian Dominguez,1,23,WON,60,81,70,56,100,44,78,12,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/4UeeALvgkk9W,Kian Dominguez,First,Jono Harding,2,18,WON,82,58,74,100,100,87,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/4UeeALvgkk9W,Jono Harding,Second,Kian Dominguez,2,15,LOST,91,36,60,70,45,,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/4UeeALvgkk9W,Kian Dominguez,Second,Jono Harding,3,21,LOST,63,100,58,60,59,41,40,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/4UeeALvgkk9W,Jono Harding,First,Kian Dominguez,3,24,WON,41,123,41,44,81,81,48,42,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/fwAhnXBtvObr,Tom Riding,Second,Tomasz Lach,1,18,WON,100,100,85,71,55,90,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/fwAhnXBtvObr,Tomasz Lach,First,Tom Riding,1,18,LOST,25,41,55,60,44,99,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/fwAhnXBtvObr,Tom Riding,First,Tomasz Lach,2,17,WON,60,140,100,45,116,40,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/fwAhnXBtvObr,Tomasz Lach,Second,Tom Riding,2,15,LOST,76,43,87,36,7,,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/zcmOGglwWHaW,John Power,First,Kian Dominguez,1,20,WON,96,125,60,100,60,20,40,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/zcmOGglwWHaW,Kian Dominguez,Second,John Power,1,18,LOST,135,96,39,97,40,38,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/zcmOGglwWHaW,John Power,Second,Kian Dominguez,2,18,WON,40,83,60,100,140,78,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/zcmOGglwWHaW,Kian Dominguez,First,John Power,2,18,LOST,81,70,81,25,100,92,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/czf8MnJgAPVN,Jono Harding,First,Tomasz Lach,1,22,WON,26,40,140,24,85,100,46,40,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/czf8MnJgAPVN,Tomasz Lach,Second,Jono Harding,1,21,LOST,41,32,60,61,83,7,26,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/czf8MnJgAPVN,Jono Harding,Second,Tomasz Lach,2,29,WON,55,26,58,120,100,45,39,38,0,20,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/czf8MnJgAPVN,Tomasz Lach,First,Jono Harding,2,30,LOST,41,95,45,95,79,98,16,0,7,9,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/DtIAkFnj76vS,Tom Riding,Second,John Power,1,21,WON,121,61,140,65,42,24,48,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/DtIAkFnj76vS,John Power,First,Tom Riding,1,21,LOST,140,78,80,43,60,80,0,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/DtIAkFnj76vS,Tom Riding,First,John Power,2,21,LOST,60,60,60,100,85,55,56,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/DtIAkFnj76vS,John Power,Second,Tom Riding,2,21,WON,100,45,44,59,140,41,72,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/DtIAkFnj76vS,Tom Riding,Second,John Power,3,21,LOST,66,140,60,27,60,100,16,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/DtIAkFnj76vS,John Power,First,Tom Riding,3,22,WON,58,100,60,139,84,40,0,20,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/q0AZIOeu6txB,Tomasz Lach,Second,Kian Dominguez,1,23,WON,45,76,36,57,57,133,41,56,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/q0AZIOeu6txB,Kian Dominguez,First,Tomasz Lach,1,24,LOST,46,81,66,45,96,57,54,36,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/q0AZIOeu6txB,Tomasz Lach,First,Kian Dominguez,2,27,LOST,24,140,43,59,100,60,63,0,0,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/q0AZIOeu6txB,Kian Dominguez,Second,Tomasz Lach,2,25,WON,59,81,70,57,134,21,55,0,24,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/q0AZIOeu6txB,Tomasz Lach,Second,Kian Dominguez,3,25,WON,85,100,22,61,30,85,44,40,34,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/q0AZIOeu6txB,Kian Dominguez,First,Tomasz Lach,3,27,LOST,60,39,59,45,60,85,39,42,64,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/vu1vMvNHsVsE,John Power,Second,Jono Harding,1,23,WON,45,59,81,40,140,60,72,4,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/vu1vMvNHsVsE,Jono Harding,First,John Power,1,24,LOST,40,41,45,60,125,140,34,8,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/vu1vMvNHsVsE,John Power,First,Jono Harding,2,28,WON,121,60,180,78,46,8,4,2,0,2,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 4,https://www.dartsatlas.com/matches/vu1vMvNHsVsE,Jono Harding,Second,John Power,2,27,LOST,45,10,24,95,60,60,40,99,48,,,,,,,,,,,,,,
