Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,Second,Nick Holman,1,21,WON,78,77,30,78,45,100,93,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,Second,Shaun Francome,2,27,LOST,140,100,7,85,81,63,0,21,0,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,First,Nick Holman,2,29,WON,36,140,45,87,26,41,49,37,30,10,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,First,Shaun Francome,3,18,WON,100,140,91,63,75,32,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,Second,Nick Holman,3,15,LOST,76,95,21,123,41,,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,Second,Shaun Francome,4,19,WON,24,100,100,60,43,138,36,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,First,Nick Holman,4,21,LOST,60,85,41,54,83,75,63,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,First,Shaun Francome,5,24,WON,135,60,79,40,100,54,1,32,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,Second,Nick Holman,5,21,LOST,78,45,95,100,83,60,21,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,Second,Shaun Francome,6,15,LOST,45,100,100,39,41,,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,First,Nick Holman,6,17,WON,26,96,100,121,100,58,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,First,Shaun Francome,7,14,WON,140,100,66,140,55,,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,Second,Nick Holman,7,12,LOST,43,100,140,19,,,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,Second,Shaun Francome,8,12,LOST,45,60,41,100,,,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,First,Nick Holman,8,15,WON,81,180,81,83,76,,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,First,Shaun Francome,9,14,WON,140,41,100,180,40,,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,Second,Nick Holman,9,12,LOST,59,100,100,120,,,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,Second,Shaun Francome,10,27,WON,100,100,30,60,100,39,40,0,32,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Shaun Francome,First,Nick Holman,10,27,LOST,43,80,28,13,47,100,35,43,56,,,,,,,
