Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/MsfJ9tDy32ND,Harry Sheridan,First,Connor Merrick,2,33,LOST,26,37,26,45,26,55,83,43,25,81,34,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/MsfJ9tDy32ND,Connor Merrick,First,Harry Sheridan,3,24,WON,42,85,59,35,60,140,58,22,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/MsfJ9tDy32ND,Harry Sheridan,Second,Connor Merrick,3,21,LOST,30,41,24,26,30,92,26,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/asNfEBLixqqD,Charlie Green,First,Rob Message,1,19,WON,59,140,60,100,40,62,40,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/asNfEBLixqqD,Rob Message,Second,Charlie Green,1,18,LOST,45,100,89,45,44,30,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/asNfEBLixqqD,Charlie Green,Second,Rob Message,2,17,WON,115,39,95,100,120,32,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/asNfEBLixqqD,Rob Message,First,Charlie Green,2,18,LOST,65,44,41,22,40,125,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/asNfEBLixqqD,Charlie Green,First,Rob Message,3,20,WON,100,100,58,77,40,80,46,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/asNfEBLixqqD,Rob Message,Second,Charlie Green,3,18,LOST,57,60,140,43,41,28,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/7ReDsdzhdtPq,Kieran Parsons,Second,Bradley Mackay,1,27,LOST,45,15,82,85,68,45,36,29,80,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/7ReDsdzhdtPq,Bradley Mackay,First,Kieran Parsons,1,28,WON,100,45,140,39,41,82,14,20,0,20,,,,,,
