Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/LlkTT4fLikZj,James Edghill,Second,Tyla Samson,1,15,LOST,3,120,85,43,84,,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/LlkTT4fLikZj,Tyla Samson,First,James Edghill,1,18,WON,45,58,140,120,129,9,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/LlkTT4fLikZj,James Edghill,First,Tyla Samson,2,24,LOST,75,43,43,74,79,40,47,60,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/LlkTT4fLikZj,Tyla Samson,Second,James Edghill,2,24,WON,41,60,125,41,100,42,30,62,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/LlkTT4fLikZj,James Edghill,Second,Tyla Samson,3,20,WON,36,55,95,140,30,100,45,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/LlkTT4fLikZj,Tyla Samson,First,James Edghill,3,21,LOST,83,43,41,100,98,80,36,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/LlkTT4fLikZj,James Edghill,First,Tyla Samson,4,24,LOST,81,60,85,68,27,33,57,65,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/LlkTT4fLikZj,Tyla Samson,Second,James Edghill,4,24,WON,29,45,45,43,83,100,64,92,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/tG040Ub7XJRv,Jaime Message,First,Teddie Stanford,1,21,WON,30,85,66,68,41,95,116,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/tG040Ub7XJRv,Teddie Stanford,Second,Jaime Message,1,18,LOST,41,77,95,64,67,95,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/tG040Ub7XJRv,Jaime Message,Second,Teddie Stanford,2,30,WON,41,60,58,140,24,32,60,26,40,20,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/tG040Ub7XJRv,Teddie Stanford,First,Jaime Message,2,30,LOST,41,17,22,38,10,35,83,38,22,33,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/tG040Ub7XJRv,Jaime Message,First,Teddie Stanford,3,29,WON,32,45,120,60,81,45,58,40,6,14,,,,,,
Hammersmith,,,05-10-2025,Group 3,https://www.dartsatlas.com/matches/tG040Ub7XJRv,Teddie Stanford,Second,Jaime Message,3,27,LOST,39,57,29,52,39,24,32,68,49,,,,,,,
