Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,James Malcher,First,Tom Riding,1,17,WON,66,81,60,100,138,56,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,Tom Riding,Second,James Malcher,1,15,LOST,60,100,100,45,60,,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,James Malcher,Second,Tom Riding,2,21,LOST,26,41,60,100,9,45,50,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,Tom Riding,First,James Malcher,2,24,WON,140,84,58,49,44,38,32,56
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,James Malcher,First,Tom Riding,3,15,LOST,45,95,60,60,81,,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,Tom Riding,Second,James Malcher,3,15,WON,140,84,100,99,78,,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,James Malcher,Second,Tom Riding,4,18,LOST,45,60,92,100,82,115,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,Tom Riding,First,James Malcher,4,21,WON,82,100,140,43,100,4,32,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,James Malcher,First,Tom Riding,5,21,LOST,13,38,63,30,27,19,95,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,Tom Riding,Second,James Malcher,5,20,WON,125,100,60,180,18,10,8,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,James Malcher,Second,Tom Riding,6,21,LOST,80,42,60,80,80,97,22,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/7dBlmu3QalZH,Tom Riding,First,James Malcher,6,23,WON,81,95,85,26,68,60,46,40
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,John Walters,Second,Charlie Green,1,18,LOST,140,44,100,100,85,24,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,Charlie Green,First,John Walters,1,20,WON,120,42,57,180,42,20,40,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,John Walters,First,Charlie Green,2,16,WON,100,81,140,60,100,20,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,Charlie Green,Second,John Walters,2,15,LOST,83,115,58,60,43,,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,John Walters,Second,Charlie Green,3,15,LOST,41,137,140,43,77,,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,Charlie Green,First,John Walters,3,17,WON,58,87,60,100,96,100,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,John Walters,First,Charlie Green,4,17,WON,140,81,45,35,140,60,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,Charlie Green,Second,John Walters,4,15,LOST,96,94,60,99,96,,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,John Walters,Second,Charlie Green,5,18,LOST,100,41,81,58,96,51,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,Charlie Green,First,John Walters,5,20,WON,46,100,57,100,60,58,80,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,John Walters,First,Charlie Green,6,19,WON,140,60,43,58,140,20,40,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,Charlie Green,Second,John Walters,6,18,LOST,41,58,58,180,96,33,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,John Walters,Second,Charlie Green,7,15,LOST,95,96,100,95,79,,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,Charlie Green,First,John Walters,7,16,WON,123,100,58,100,100,20,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,John Walters,First,Charlie Green,8,18,WON,121,81,85,40,41,133,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,Charlie Green,Second,John Walters,8,15,LOST,41,60,34,94,97,,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,John Walters,Second,Charlie Green,9,12,WON,100,140,134,127,,,,
Footscray,,,15/08/2025,Semi-Final,https://www.dartsatlas.com/matches/yG6W0QlxcMm8,Charlie Green,First,John Walters,9,12,LOST,85,60,70,58,,,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,James Malcher,First,George Jeffery,1,21,LOST,60,30,100,140,27,28,57,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,George Jeffery,Second,James Malcher,1,21,WON,84,180,29,22,44,85,57,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,James Malcher,Second,George Jeffery,2,20,WON,140,41,135,24,30,78,53,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,George Jeffery,First,James Malcher,2,21,LOST,82,43,60,45,41,85,60,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,James Malcher,First,George Jeffery,3,23,WON,81,45,95,85,39,47,94,15
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,George Jeffery,Second,James Malcher,3,21,LOST,55,43,42,29,45,9,60,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,James Malcher,Second,George Jeffery,4,21,WON,100,85,41,25,70,140,40,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,George Jeffery,First,James Malcher,4,21,LOST,60,60,100,85,34,60,38,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,James Malcher,First,George Jeffery,5,17,WON,60,85,45,140,95,76,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/0lPUhRWyzMNW,George Jeffery,Second,James Malcher,5,15,LOST,55,46,81,84,60,,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/jbSATXjb7BIF,Tom Riding,First,Jason Dolby,1,21,WON,100,43,60,100,60,96,42,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/jbSATXjb7BIF,Jason Dolby,Second,Tom Riding,1,18,LOST,40,11,39,45,27,33,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/jbSATXjb7BIF,Tom Riding,Second,Jason Dolby,2,21,WON,45,41,60,85,78,140,52,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/jbSATXjb7BIF,Jason Dolby,First,Tom Riding,2,21,LOST,43,70,26,44,58,28,17,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/jbSATXjb7BIF,Tom Riding,First,Jason Dolby,3,19,WON,97,95,60,135,94,0,20,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/jbSATXjb7BIF,Jason Dolby,Second,Tom Riding,3,18,LOST,15,45,100,28,58,18,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/jbSATXjb7BIF,Tom Riding,Second,Jason Dolby,4,15,WON,100,140,140,96,25,,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/jbSATXjb7BIF,Jason Dolby,First,Tom Riding,4,15,LOST,45,70,30,25,56,,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,Shane Edwards,First,John Walters,1,18,LOST,63,60,58,96,42,42,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,John Walters,Second,Shane Edwards,1,18,WON,140,60,78,97,86,40,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,Shane Edwards,Second,John Walters,2,18,LOST,131,46,18,59,40,37,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,John Walters,First,Shane Edwards,2,20,WON,58,96,140,85,54,52,16,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,Shane Edwards,First,John Walters,3,18,WON,81,85,58,100,120,57,,
