Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Nick Ellis,First,Kurtis Atkins,7,24,LOST,40,60,180,100,55,46,0,0,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Kurtis Atkins,First,Nick Ellis,8,18,LOST,100,54,81,70,26,41,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Nick Ellis,Second,Kurtis Atkins,8,18,WON,60,140,57,140,80,24,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Kurtis Atkins,Second,Charlie Green,1,12,LOST,58,58,100,41,,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Charlie Green,First,Kurtis Atkins,1,15,WON,96,120,97,100,88,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Kurtis Atkins,First,Charlie Green,2,21,LOST,66,60,57,58,22,58,60,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Charlie Green,Second,Kurtis Atkins,2,19,WON,140,98,137,54,32,20,20,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Kurtis Atkins,Second,Charlie Green,3,17,WON,140,100,28,134,63,36,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Charlie Green,First,Kurtis Atkins,3,18,LOST,140,45,140,136,20,16,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Kurtis Atkins,First,Charlie Green,4,21,LOST,86,95,41,140,47,68,12,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Charlie Green,Second,Kurtis Atkins,4,19,WON,140,57,94,100,54,46,10,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Kurtis Atkins,Second,Charlie Green,5,21,LOST,58,99,140,58,59,49,0,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Charlie Green,First,Kurtis Atkins,5,23,WON,85,41,59,100,60,68,70,18,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Kurtis Atkins,First,Charlie Green,6,21,WON,59,58,60,85,26,139,74,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Charlie Green,Second,Kurtis Atkins,6,18,LOST,46,45,60,45,36,102,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Kurtis Atkins,Second,Charlie Green,7,15,WON,100,140,91,96,74,,,,,,
