Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Darryl Pilgrim,First,Nick Ellis,7,15,LOST,100,140,55,58,140,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Nick Ellis,First,Darryl Pilgrim,8,18,WON,91,123,55,100,92,40,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Darryl Pilgrim,Second,Nick Ellis,8,15,LOST,41,60,96,134,92,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Shane Edwards,Second,Kurtis Atkins,1,18,LOST,57,140,100,60,120,22,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Kurtis Atkins,First,Shane Edwards,1,20,WON,81,140,60,41,139,0,40,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Shane Edwards,First,Kurtis Atkins,2,18,WON,134,57,60,40,138,72,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Kurtis Atkins,Second,Shane Edwards,2,15,LOST,83,121,95,58,58,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Shane Edwards,Second,Kurtis Atkins,3,23,WON,131,85,57,58,40,90,20,20,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Kurtis Atkins,First,Shane Edwards,3,24,LOST,100,91,140,81,41,28,10,0,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Shane Edwards,First,Kurtis Atkins,4,18,WON,57,58,100,100,100,86,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Kurtis Atkins,Second,Shane Edwards,4,15,LOST,58,121,121,57,41,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Shane Edwards,Second,Kurtis Atkins,5,15,WON,121,140,135,57,48,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/QF4S1nYL8gGi,Kurtis Atkins,First,Shane Edwards,5,15,LOST,135,99,100,65,54,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Steven Ferguson,Second,Kian Dominguez,1,18,LOST,100,140,91,73,77,0,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Kian Dominguez,First,Steven Ferguson,1,21,WON,60,50,96,85,60,126,24,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Steven Ferguson,First,Kian Dominguez,2,26,WON,41,120,59,28,62,99,52,0,40
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Kian Dominguez,Second,Steven Ferguson,2,24,LOST,44,81,28,32,58,40,43,81,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Steven Ferguson,Second,Kian Dominguez,3,25,WON,100,45,45,41,96,56,94,12,12
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Kian Dominguez,First,Steven Ferguson,3,27,LOST,58,60,59,84,60,21,29,65,25
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Steven Ferguson,First,Kian Dominguez,4,26,WON,58,100,58,34,42,45,57,51,56
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Kian Dominguez,Second,Steven Ferguson,4,24,LOST,84,140,60,121,88,0,0,0,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Steven Ferguson,Second,Kian Dominguez,5,21,LOST,100,93,100,45,24,98,29,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Kian Dominguez,First,Steven Ferguson,5,24,WON,58,100,140,60,60,43,20,20,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Steven Ferguson,First,Kian Dominguez,6,16,WON,81,100,94,59,139,28,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/hnclsw6nO1UT,Kian Dominguez,Second,Steven Ferguson,6,15,LOST,60,59,134,60,46,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,Nick Ellis,First,John Power,1,19,WON,60,100,140,125,36,0,40,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,John Power,Second,Nick Ellis,1,18,LOST,41,60,81,100,99,60,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,Nick Ellis,Second,John Power,2,15,WON,140,60,96,139,66,,,,
