Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,James Willcox,Second,Jacob Gear,6,12,LOST,38,58,100,162,,,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,Jacob Gear,Second,James Willcox,7,15,LOST,41,96,140,100,81,,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,James Willcox,First,Jacob Gear,7,16,WON,140,42,134,81,72,32,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,Jacob Gear,First,James Willcox,8,18,LOST,60,60,100,90,45,43,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,James Willcox,Second,Jacob Gear,8,18,WON,140,100,46,100,33,82,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,Jacob Gear,Second,James Willcox,9,18,LOST,100,40,100,96,58,83,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,James Willcox,First,Jacob Gear,9,20,WON,121,100,70,60,58,47,45,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Nick Holman,Second,Darryl Pilgrim,1,12,LOST,68,140,60,180,,,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Darryl Pilgrim,First,Nick Holman,1,15,WON,100,55,96,140,110,,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Nick Holman,First,Darryl Pilgrim,2,15,LOST,100,24,45,100,55,,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Darryl Pilgrim,Second,Nick Holman,2,13,WON,140,140,57,140,24,,,,,,
