Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/xpLW38UkTnzN,Charlie Hardie,First,John Power,2,21,LOST,60,60,26,31,45,66,60,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/xpLW38UkTnzN,John Power,First,Charlie Hardie,3,22,WON,100,85,78,80,84,54,12,8,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/xpLW38UkTnzN,Charlie Hardie,Second,John Power,3,21,LOST,45,41,45,60,85,85,30,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/xpLW38UkTnzN,John Power,Second,Charlie Hardie,4,15,WON,92,180,55,98,76,,,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/xpLW38UkTnzN,Charlie Hardie,First,John Power,4,15,LOST,60,26,45,40,81,,,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Liam Elliott,Second,Jaime Message,1,27,LOST,41,45,134,65,28,44,120,21,0,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Jaime Message,First,Liam Elliott,1,28,WON,25,30,59,81,100,26,85,28,27,40,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Liam Elliott,First,Jaime Message,2,27,LOST,36,57,26,48,30,42,92,90,41,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Jaime Message,Second,Liam Elliott,2,26,WON,40,85,42,30,60,58,100,61,25,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Liam Elliott,Second,Jaime Message,3,21,WON,95,40,100,42,60,82,82,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Jaime Message,First,Liam Elliott,3,21,LOST,81,60,45,40,81,100,21,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Liam Elliott,First,Jaime Message,4,26,WON,57,60,44,68,40,42,65,60,65,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Jaime Message,Second,Liam Elliott,4,24,LOST,83,55,30,95,32,45,57,84,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Liam Elliott,Second,Jaime Message,5,27,LOST,59,45,61,55,70,60,97,44,5,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Jaime Message,First,Liam Elliott,5,30,WON,45,30,64,60,100,19,45,94,37,7,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Liam Elliott,First,Jaime Message,6,30,WON,21,100,36,58,93,60,93,20,0,20,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Jaime Message,Second,Liam Elliott,6,27,LOST,28,60,40,60,93,30,40,43,97,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Liam Elliott,Second,Jaime Message,7,27,LOST,83,60,96,44,60,26,88,28,0,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/KWT23Qmk0CHu,Jaime Message,First,Liam Elliott,7,29,WON,60,60,76,30,50,90,77,42,8,8,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/HkoD2fVGEWjF,Edgar Znutins,First,Kean Evans,1,18,LOST,39,125,42,99,121,35,,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/HkoD2fVGEWjF,Kean Evans,Second,Edgar Znutins,1,16,WON,81,100,96,140,44,40,,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/HkoD2fVGEWjF,Edgar Znutins,Second,Kean Evans,2,16,WON,45,125,71,121,99,40,,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/HkoD2fVGEWjF,Kean Evans,First,Edgar Znutins,2,18,LOST,56,41,47,100,40,45,,,,,
