Venue,Division,Season,Date,Round,URL,Player,Opponent,First Thrower,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,First,5,30,WON,55,95,21,55,81,45,89,40,0,20,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,First,6,26,WON,31,84,60,40,140,103,31,9,3,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,Second,6,24,LOST,40,42,100,29,60,55,29,80,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,Second,7,23,WON,77,45,58,57,60,134,31,39,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,First,7,24,LOST,55,38,57,48,47,100,82,42,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,First,8,23,WON,42,46,60,41,60,140,48,64,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,Second,8,21,LOST,100,25,32,80,84,100,13,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,Second,9,15,WON,140,180,41,80,60,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,First,9,15,LOST,100,100,140,119,10,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,First,10,20,WON,100,140,41,83,22,75,40,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,Second,10,18,LOST,76,40,25,45,139,85,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,Second,11,24,LOST,60,62,28,25,140,40,82,44,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,First,11,26,WON,140,45,32,95,40,59,30,40,20,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,First,12,24,LOST,85,58,61,96,60,59,47,19,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,Second,12,23,WON,75,81,63,30,60,84,68,40,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,Second,13,16,WON,86,180,85,98,20,32,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,First,13,18,LOST,85,41,82,43,100,55,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,Second,1,24,LOST,27,135,47,40,43,45,45,59,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,First,1,26,WON,47,44,51,140,47,60,56,46,10,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,First,2,24,LOST,9,100,45,30,48,41,40,81,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,Second,2,22,WON,44,60,140,134,55,0,52,16,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,Second,3,18,LOST,41,55,60,13,30,74,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,First,3,21,WON,47,44,60,140,85,82,43,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,First,4,23,WON,140,41,45,65,41,22,97,50,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,Second,4,21,LOST,30,44,60,28,45,100,100,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,Second,5,23,WON,33,45,140,121,32,52,68,10,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,First,5,24,LOST,123,41,80,60,59,58,70,6,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,First,6,24,LOST,30,46,41,85,47,45,49,81,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,Second,6,24,WON,60,100,95,44,81,81,30,10,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,Second,7,21,LOST,26,35,11,76,40,39,100,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,First,7,24,WON,100,60,45,55,55,92,54,40,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,First,8,15,LOST,26,95,42,45,26,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,Second,8,15,WON,55,100,98,140,108,,,,,,,,,,,
