Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Andy Ward,First,Terry Young,3,29,WON,57,78,85,60,81,60,60,0,0,20,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Terry Young,First,Andy Ward,4,18,LOST,100,60,140,41,100,20,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Andy Ward,Second,Terry Young,4,17,WON,94,28,100,60,140,79,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Terry Young,Second,Andy Ward,5,21,LOST,45,100,21,41,60,69,82,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Andy Ward,First,Terry Young,5,23,WON,99,50,45,95,80,78,34,20,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Terry Young,First,Andy Ward,6,21,WON,100,41,48,134,78,40,60,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Andy Ward,Second,Terry Young,6,18,LOST,57,140,180,92,16,0,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Terry Young,Second,Andy Ward,7,18,WON,100,38,100,96,133,34,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Andy Ward,First,Terry Young,7,18,LOST,60,60,140,58,2,43,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Terry Young,First,Andy Ward,8,21,LOST,60,85,81,45,40,121,44,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Andy Ward,Second,Terry Young,8,20,WON,30,45,180,42,125,59,20,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,David Buckley,Second,Ricky Caves,1,18,LOST,140,87,43,87,46,58,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,Ricky Caves,First,David Buckley,1,21,WON,41,121,60,85,24,84,86,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,David Buckley,First,Ricky Caves,2,21,LOST,45,59,60,100,44,45,89,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,Ricky Caves,Second,David Buckley,2,20,WON,100,60,100,100,59,62,20,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,David Buckley,Second,Ricky Caves,3,15,LOST,76,60,84,60,60,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,Ricky Caves,First,David Buckley,3,17,WON,60,100,95,100,90,56,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,David Buckley,First,Ricky Caves,4,24,LOST,60,95,97,85,87,72,0,1,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,Ricky Caves,Second,David Buckley,4,22,WON,45,58,140,81,122,35,0,20,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,David Buckley,Second,Ricky Caves,5,16,WON,100,60,100,96,105,40,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,Ricky Caves,First,David Buckley,5,18,LOST,100,85,45,60,95,96,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,David Buckley,First,Ricky Caves,6,18,WON,100,57,26,180,45,93,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,Ricky Caves,Second,David Buckley,6,15,LOST,85,140,100,100,36,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,David Buckley,Second,Ricky Caves,7,23,WON,100,45,56,59,100,65,36,40,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,Ricky Caves,First,David Buckley,7,24,LOST,58,30,55,140,81,59,58,15,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,David Buckley,First,Ricky Caves,8,20,WON,41,58,99,45,100,98,60,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,Ricky Caves,Second,David Buckley,8,18,LOST,55,60,58,40,60,98,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,David Buckley,Second,Ricky Caves,9,16,WON,60,137,93,60,119,32,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/cc8038IfHp5K,Ricky Caves,First,David Buckley,9,18,LOST,85,60,100,125,57,34,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,John Mcdermott,Second,Terry Young,1,29,WON,85,96,75,68,137,30,0,0,0,10,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,Terry Young,First,John Mcdermott,1,30,LOST,81,84,60,60,60,140,12,0,0,0,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,John Mcdermott,First,Terry Young,2,17,WON,140,41,123,95,62,40,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,Terry Young,Second,John Mcdermott,2,15,LOST,80,100,60,97,81,,,,,,,,,,,,,,,,
