Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/C2l6NeLllYRR,Sebastian Bond,First,John Mcdermott,1,21,LOST,45,85,42,17,28,60,58,,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/C2l6NeLllYRR,John Mcdermott,Second,Sebastian Bond,1,19,WON,30,76,121,85,113,36,40,,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/C2l6NeLllYRR,Sebastian Bond,Second,John Mcdermott,2,24,LOST,45,81,41,45,97,60,81,35,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/C2l6NeLllYRR,John Mcdermott,First,Sebastian Bond,2,27,WON,95,80,100,54,42,42,28,50,10,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/C2l6NeLllYRR,Sebastian Bond,First,John Mcdermott,3,27,WON,26,60,41,41,42,57,81,97,56,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/C2l6NeLllYRR,John Mcdermott,Second,Sebastian Bond,3,24,LOST,85,32,100,42,9,41,27,57,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/C2l6NeLllYRR,Sebastian Bond,Second,John Mcdermott,4,36,LOST,41,45,50,45,45,22,41,28,46,30,58,42,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/C2l6NeLllYRR,John Mcdermott,First,Sebastian Bond,4,38,WON,22,81,37,81,75,85,42,38,35,0,0,0,5
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/6Owfc6h1E11I,Tamas Nagy,Second,Tomasz Lach,1,29,WON,57,39,140,57,25,60,27,88,6,2,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/6Owfc6h1E11I,Tomasz Lach,First,Tamas Nagy,1,30,LOST,85,30,100,60,58,22,45,41,20,5,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/6Owfc6h1E11I,Tamas Nagy,First,Tomasz Lach,2,25,WON,41,24,100,60,41,45,85,65,40,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/6Owfc6h1E11I,Tomasz Lach,Second,Tamas Nagy,2,24,LOST,78,26,140,30,26,95,60,0,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/6Owfc6h1E11I,Tamas Nagy,Second,Tomasz Lach,3,35,WON,121,55,23,41,68,41,44,37,0,39,16,16,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/6Owfc6h1E11I,Tomasz Lach,First,Tamas Nagy,3,36,LOST,26,25,45,22,76,45,26,45,45,26,58,32,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Charlie Hardie,First,Sebastian Bond,1,24,LOST,11,97,17,27,82,83,32,41,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Sebastian Bond,Second,Charlie Hardie,1,23,WON,30,25,45,60,85,121,95,40,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Charlie Hardie,Second,Sebastian Bond,2,24,LOST,34,33,45,133,26,35,58,17,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Sebastian Bond,First,Charlie Hardie,2,26,WON,100,81,140,78,86,8,4,0,4,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Charlie Hardie,First,Sebastian Bond,3,26,WON,82,27,42,41,41,59,121,30,58,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Sebastian Bond,Second,Charlie Hardie,3,24,LOST,90,24,45,26,100,81,41,62,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Charlie Hardie,Second,Sebastian Bond,4,26,WON,24,93,57,43,60,70,57,42,55,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Sebastian Bond,First,Charlie Hardie,4,27,LOST,30,140,57,28,42,44,41,28,59,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Charlie Hardie,First,Sebastian Bond,5,36,WON,93,40,45,7,28,61,79,55,53,0,8,32,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/QWQNSt876uqt,Sebastian Bond,Second,Charlie Hardie,5,33,LOST,60,95,85,41,75,26,43,56,13,0,5,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,John Mcdermott,First,Tamas Nagy,1,25,WON,83,28,45,66,81,23,83,52,40,,,,
