Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,John Mcdermott,First,Paul Upfold,5,23,WON,140,100,41,60,84,36,24,16,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,Paul Upfold,First,John Mcdermott,6,21,LOST,99,31,44,45,41,85,100,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,John Mcdermott,Second,Paul Upfold,6,20,WON,121,81,25,58,94,72,50,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,Paul Upfold,Second,John Mcdermott,7,18,LOST,31,44,60,81,85,28,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,John Mcdermott,First,Paul Upfold,7,19,WON,83,43,65,100,100,80,30,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,Paul Upfold,First,John Mcdermott,8,16,WON,136,54,59,137,77,38,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,John Mcdermott,Second,Paul Upfold,8,15,LOST,81,125,60,28,81,,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,Paul Upfold,Second,John Mcdermott,9,15,LOST,60,43,140,100,28,,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,John Mcdermott,First,Paul Upfold,9,18,WON,100,140,81,44,63,73,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Hamond Kumar,First,Kian Dominguez,1,20,WON,60,140,55,95,137,10,4,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Kian Dominguez,Second,Hamond Kumar,1,18,LOST,100,77,140,59,33,32,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Hamond Kumar,Second,Kian Dominguez,2,17,WON,140,100,120,40,49,52,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Kian Dominguez,First,Hamond Kumar,2,18,LOST,43,85,100,100,58,39,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Hamond Kumar,First,Kian Dominguez,3,22,WON,60,100,60,100,36,53,60,32,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Kian Dominguez,Second,Hamond Kumar,3,21,LOST,60,100,140,100,21,60,15,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Hamond Kumar,Second,Kian Dominguez,4,20,WON,60,140,41,100,120,20,20,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Kian Dominguez,First,Hamond Kumar,4,21,LOST,60,45,60,25,62,43,100,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Hamond Kumar,First,Kian Dominguez,5,24,LOST,60,40,60,41,140,40,80,0,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Kian Dominguez,Second,Hamond Kumar,5,24,WON,100,27,41,60,48,140,25,60,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Hamond Kumar,Second,Kian Dominguez,6,18,LOST,140,140,140,75,0,4,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Kian Dominguez,First,Hamond Kumar,6,21,WON,121,46,46,100,83,39,66,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Hamond Kumar,First,Kian Dominguez,7,18,LOST,135,60,100,60,26,60,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Kian Dominguez,Second,Hamond Kumar,7,17,WON,100,100,96,100,56,49,,,,
