Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Tom Riding,Second,Edgar Znutins,6,15,LOST,100,36,41,121,99,,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Edgar Znutins,Second,Tom Riding,7,18,WON,140,60,60,97,45,99,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Tom Riding,First,Edgar Znutins,7,18,LOST,85,40,121,60,100,75,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Edgar Znutins,First,Tom Riding,8,13,WON,100,140,140,89,32,,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Tom Riding,Second,Edgar Znutins,8,12,LOST,100,85,100,140,,,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Edgar Znutins,Second,Tom Riding,9,18,LOST,85,45,100,58,58,117,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Tom Riding,First,Edgar Znutins,9,19,WON,83,100,78,98,94,8,40,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Edgar Znutins,Second,Kieran Parsons,1,22,WON,30,140,58,59,68,130,14,2,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Kieran Parsons,First,Edgar Znutins,1,24,LOST,60,17,45,100,77,60,67,73,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Edgar Znutins,First,Kieran Parsons,2,25,WON,62,100,95,100,60,72,0,0,12,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Kieran Parsons,Second,Edgar Znutins,2,24,LOST,30,60,100,57,41,85,88,36,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Edgar Znutins,Second,Kieran Parsons,3,15,WON,83,97,100,100,121,,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Kieran Parsons,First,Edgar Znutins,3,15,LOST,95,85,66,43,100,,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Edgar Znutins,First,Kieran Parsons,4,25,WON,55,60,43,100,60,32,39,92,20,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Kieran Parsons,Second,Edgar Znutins,4,24,LOST,48,41,43,99,100,28,42,48,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Edgar Znutins,Second,Kieran Parsons,5,12,LOST,100,140,140,53,,,,,,
