Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,Bobby Harwood,Second,John Mcdermott,5,15,LOST,26,100,80,30,60,,,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,John Mcdermott,First,Bobby Harwood,5,18,WON,180,100,55,89,37,40,,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,Bobby Harwood,First,John Mcdermott,6,33,WON,125,60,30,45,60,25,41,55,20,8,32
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,John Mcdermott,Second,Bobby Harwood,6,30,LOST,9,55,100,41,41,59,83,65,24,18,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,Bobby Harwood,Second,John Mcdermott,7,26,WON,60,24,85,100,40,63,59,22,48,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,John Mcdermott,First,Bobby Harwood,7,27,LOST,60,50,66,28,83,43,43,40,47,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,Bobby Harwood,First,John Mcdermott,8,21,LOST,43,60,42,60,60,60,45,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,John Mcdermott,Second,Bobby Harwood,8,19,WON,83,100,123,60,88,15,32,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,Bobby Harwood,Second,John Mcdermott,9,24,LOST,55,50,95,95,81,65,46,0,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,John Mcdermott,First,Bobby Harwood,9,25,WON,30,46,85,85,123,92,30,0,10,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,George Whyte,First,Dylan Loughnane,1,26,WON,55,40,60,100,36,50,80,40,40,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,Dylan Loughnane,Second,George Whyte,1,24,LOST,116,81,45,45,45,30,45,86,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,George Whyte,Second,Dylan Loughnane,2,18,WON,45,100,50,82,96,128,,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,Dylan Loughnane,First,George Whyte,2,18,LOST,40,100,85,140,112,12,,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,George Whyte,First,Dylan Loughnane,3,15,WON,44,180,59,63,155,,,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,Dylan Loughnane,Second,George Whyte,3,12,LOST,81,24,95,41,,,,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,George Whyte,Second,Dylan Loughnane,4,17,WON,99,125,91,85,64,37,,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,Dylan Loughnane,First,George Whyte,4,18,LOST,24,45,44,45,30,20,,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,George Whyte,First,Dylan Loughnane,5,27,LOST,99,96,76,60,40,94,20,12,0,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,Dylan Loughnane,Second,George Whyte,5,27,WON,26,95,100,45,42,45,60,44,44,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,George Whyte,Second,Dylan Loughnane,6,14,WON,140,100,140,93,28,,,,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/cIP4TQjUnLR1,Dylan Loughnane,First,George Whyte,6,15,LOST,121,60,81,100,99,,,,,,
